结构	用途选车	城市	国别	品牌	口碑参数	车系	论坛用词	资讯关键词	动作指令	保养项目	保养次数	问时间	问价格	生产厂商	指定拆词	外观描述	动力描述	配置描述	价格描述	排量描述	车身配置	车身参数	驱动电机数	发动机型号	进气形式	配气机构	发动机特有技术	供油方式	变速箱类型	驱动方式	助力类型	车体结构	驻车制动类型	备胎规格	四驱形式	中央差速器结构	电池类型	后排车门开启方式	电机布局	变速箱和简称	变速箱	简称	能源类型	缸盖材料和缸体材料	缸盖材料	缸体材料	前悬架类型和后悬架类型	前悬架类型	后悬架类型	前制动器类型和后制动器类型	前制动器类型	后制动器类型	级别	版型	颜色	环保标准	厂商	询价用词	热门	省	侧滑门	车窗一键升降	多天窗	方向盘调节	后排座椅放倒方式	近光灯	近光灯和远光灯	可变悬架	外接音源接口	扬声器品牌	远光灯	座椅材质	颜色类型	CD/DVD	可加热/制冷杯架	前桥限滑差速器/差速锁和后桥限滑差速器/差速锁	前桥限滑差速器/差速锁	后桥限滑差速器/差速锁	加速度描述	发动机	问公里
		高要		北亚迪		BMW叉1新能源															后排侧遮阳帘	备胎规格		L13Z1																									独立双连杆麦弗逊滑柱式带横向稳定杆					烈焰特别	晶亮白		福汽新龙马																								
		高州		标致		别摸我叉一新能源															后排侧隐私玻璃	四驱形式		L15A7																									非独立式的Delta-link后轮悬架					舒适精典	胡椒白		腾势汽车																								
		鹤山		别克		X1新能源															遮阳板化妆镜	上市时间		L15B2																									滑柱双摆臂式独立悬架					领秀	羚羊白		威蒙积泰																								
		化州		宾利		别摸我叉1新能源															后雨刷	中央差速器结构		BRJ																									纵向摆臂抗扭梁式复合后悬架					悦动派	纯白		江西五十铃																								
		开平		宾尼法利纳		别摸我X1新能源															感应雨刷	电动机总功率(kW)		AXQ																									螺旋弹簧式悬架					魅力	冷艳白		潍柴汽车																								
		乐昌		布加迪		宝马X一新能源															空调控制方式	电动机总功率		BJN																									H形扭力梁非独立悬架					猎装时尚	珠贝白		康迪全球鹰电动汽车																								
		雷州		昌河		BMW叉一新能源															后排独立空调	电动机总扭矩(N·m)		4G63S4M																									纵向拖臂多连杆式					泵豪华标准货箱	层云白		浙江卡尔森																								
		连州		长安		别摸我X一新能源															后座出风口	电动机总扭矩		SQR484F																									铝合金多连杆					团体豪华	晨露白		奇瑞新能源																								
		廉江		长安欧尚		叉一新能源															温度分区控制	工信部续航里程(km)		ACTECO-SQR481FC																									梯形连杆式后悬架					世锦赛珍藏	磨砂亮白		东风雷诺																								
		陆丰		长安轻型车		宝马叉1新能源															车内空气调节/花粉过滤	工信部续航里程		SQR480																									纵向摆臂独立悬架带横向稳定杆					顶级	杨林白		宝沃汽车																								
		罗定		长城		X一新能源															车载冰箱	电池容量(kWh)		TRITEC																									后多连杆独立式悬吊系统附平衡杆					锐骑豪华	亮白		前途汽车																								
		南雄		长江EV		BMWX1新能源															自动泊车入位	电池容量		SQR475E																									纵臂扭梁非独立悬架					运动机械增压	珍珠绸缎白		云度新能源																								
		普宁		昶洧		叉1新能源															发动机启停技术	前电动机最大功率(kW)		CAC-SQR480																									纵臂扭梁式非独立悬架					舒适加长	透明白		长江汽车																								
		四会		车和家		宝马X2															并线辅助	前电动机最大功率		CAC-SQR475E																									H型扭力梁式非独立悬架					米兰典藏	水晶珠光白		天津汽车																								
		台山		成功汽车		别摸我X2															车道偏离预警系统	前电动机最大扭矩(N·m)		ACTECO-SQR477F																									整体扭杆梁式非独立					运动舒适	纯白色		广马汽车																								
		吴川		大迪		BMWX二															主动刹车/主动安全系统	前电动机最大扭矩		AYL																									多连杆非独立悬架					巅峰创世加长	埃尔多拉多白		电咖汽车																								
		信宜		大发		BMWX2															整体主动转向系统	后电动机最大功率(kW)		CAC-SQR372																									五连杆式非独立悬架					智趣	雪白		四川现代																								
		兴宁		大众		别摸我X二															夜视系统	后电动机最大功率		DA465Q-1A2/D																									非独立车轴式					改冰白物流车	白珍珠色		裕路汽车																								
		阳春		道奇		BMW叉二															中控液晶屏分屏显示	后电动机最大扭矩(N·m)		SQR472F																									螺旋弹簧悬架					逸彩	智纯白		明君汽车																								
		英德		电咖		宝马X二															自适应巡航	后电动机最大扭矩		CAC-SQR472																									独立式梯型多连杆+防倾杆					豪翼	智臻白		广汽讴歌																								
		增城		东风		BMW叉2															全景摄像头	电机类型		SQRE3G08																									纵向摆臂+抗扭梁复合式悬架					第六代畅领标准	简约白		陕西通家																								
		南宁		东风风度		别摸我叉二															感应后备厢	系统综合功率(kW)		SQR371F																									纵向摆臂型独立悬架					超豪华掀背	珍珠色		御捷新能源																								
		柳州		东风风光		别摸我叉2															全液晶仪表盘	系统综合功率		188A5000																									Z型纵摆臂式后独立悬架					眩红	海贝白		end																								
		桂林		东风风神		X二															220V/230V电源	系统综合扭矩(N·m)		188A4000																									螺旋弹簧非独立悬架					鸿运	白石英																										
		梧州		东风风行		X2															自适应远近光	系统综合扭矩		178E5027																									多连杆					商务舱豪华	朗月白																										
		北海		东风小康		宝马叉2															车顶行李架	电池类型		178F2027																									螺旋弹簧+稳定杆					黄钻	精灵白																										
		玉林		东南		宝马叉二															方向盘记忆	百公里耗电量(kWh/100km)		G13B																									独立五连杆					酷黑骑士尊贵	阿玛菲白																										
		百色		法拉利		叉二															座椅材质	百公里耗电量		5.4LSOHC3-ValveV-8																									纵臂扭力梁式复合悬架					物流舒适	宝石珍珠白色																										
		防城港		菲亚特		叉2															第三排座椅	电池组质保		330																									纵置变截面少片簧					红粉佳人	爵士白																										
		钦州		丰田		宝马X3															近光灯	电池充电时间		Duratec3.0L																									双向作用液压筒式减振器					智能白金豪华	白金																										
		贵港		弗那萨利		宝马叉三															远光灯	快充电量(%)		N6A10XA3APSA																									可变刚度螺旋弹簧悬架					加长全能标准	霜晨白																										
		贺州		福迪		宝马X三															外接音源接口	快充电量		TU3JP/K																									带四连杆					轻享	钛白																										
		河池		福汽启腾		BMWX3															疲劳驾驶提示	充电桩价格		EC5CNG双燃料																									单纵臂式整体后桥					智驱智尚	宇宙白																										
		北流		福特		叉三															自动驾驶技术	后排车门开启方式		NFP																									扭力梁随动臂式非独立悬架					高底盘舒享小	天山白																										
		岑溪		福田		BMWX三															远程启动发动机	货箱尺寸(mm)		PSARFN10LH47																									新型拖曳臂式悬架(减振器、减振簧分离式)					皮卡电影	卡拉拉白																										
		崇左		福田乘用车		叉3															内置行车记录仪	货箱尺寸		PSARFN10LH3X																									独创性Z型纵摆臂双横臂后独立悬架					乐尚	优雅白																										
		东兴		谷歌		X三															主动降噪	最大载重质量(kg)		TJ376QE																									单纵臂式独立悬架					领先3运动	唐古拉白																										
		桂平		观致		BMW叉三															手机无线充电	最大载重质量		8A-FE																									变刚度、非对称式钢板弹簧					尊贵加距	圣雪白																										
		合山		光冈		BMW叉3															副驾驶位后排可调节按钮	能源类型		TJ378QE																									空间四杆螺旋弹簧独立悬架					澳洲	纯情白																										
		来宾		广汽传祺		别摸我X3															第二排独立座椅	驱动电机数		4GB1																									双天梯多连杆式独立悬架					炫乐	北欧白																										
		凭祥		广汽吉奥		X3															可加热/制冷杯架	电机布局		丰田8A																									扭力梁随动臂式非独立悬架					大双经典	钰白																										
		宜州		广通客车		别摸我叉3															手机互联/映射	快充时间(小时)		CA3GA2																									双叉臂式					科比特别	富贵白																										
		贵阳		广通		别摸我X三															车窗一键升降	快充时间		CA4GB1																									带双向充气式减振器及螺旋弹簧					尊雅	珍钻羽白																										
		六盘水		哈飞		别摸我叉三															流媒体车内后视镜	慢充时间(小时)		DOHCV8																									后复合连杆独立式					天狼星	天穹雅白																										
		遵义		哈弗		宝马叉3															驾驶座调节向数	慢充时间		V84.6L																									拖曳臂附扭力梁					总裁级	温莎白																										
		铜仁		哈佛		宝马X4															副驾驶座调节向数	纯电续航里程		5A-FE																									扭力梁式螺旋弹簧非独立悬架					蓝标领尚	南极冰川白																										
		毕节		海格		别摸我X4															电磁感应悬架	快充电量百分比		CA4GB2																									双摆臂式独立悬架					双模电动车	玉白																										
		安顺		海马		BMWX4															车联网	实测续航里程(km)		5A+																									五连杆螺旋簧					新时尚舒适	天际白																										
		兴义		汉腾汽车		别摸我X四															车载空气净化器	实测续航里程		2AZ-FE																									4片钢板弹簧悬架					艺术典藏跑车	汉玉白																										
		凯里		汗腾		叉4															皮质方向盘	实测快充时间(小时)		2GR-FE																									梯形控制臂独立后悬挂					商务纯电动	钛白银																										
		都匀		汉腾		X四															多天窗	实测快充时间		1ZZ-FE																									四连杆螺旋弹簧悬架液压筒式减振器					自豪	超白																										
		赤水		悍马		别摸我叉四															远程启动	实测慢充时间(小时)		1ZR-FE																									后扭力梁随动臂式独立悬架					三擎混动	月星白																										
		福泉		恒天		BMWX四															自动泊车	实测慢充时间		1AZ-FE																									带横向稳定杆+复合多连杆式独立悬架					加州特别	银河白																										
		清镇		红旗		BMW叉4															安全气囊	长*宽*高		5AR-FE																									后扭杆梁+瓦特连杆非独立悬架					魔方之梦	天使白																										
		仁怀		华凯		宝马X四															侧气囊	百公里加速		4AR-FXE																									拖臂式非独立悬架					双离合领先	闪电白																										
		海口		华利		宝马叉4															头部气囊	尺寸		6AR-FSE																									多连杆螺旋弹簧悬架带防倾杆					黑曜	圣峰白																										
		三亚		华普		X4															胎压监测	官方百公里加速		A25A																									多连杆式独立悬架带横向稳定杆					嘉乐	丰田白																										
		琼海		华骐		BMW叉四															零胎压行驶	实测百公里制动		A25B																									双叉臂独立悬架					启悦贺岁	晶钻白																										
		石家庄		华颂		宝马叉四															abs防抱死	实测百公里加速		3SZ																									后纵摆臂式悬架					皓驰	流光白																										
		唐山		华泰		别摸我叉4															ebd	工信部油耗		2SZ																									多连杆独立悬架带横向稳定杆					大海狮全运豪华	火蛋白石																										
		秦皇岛		华泰新能源		叉四															eba	百米加速		2NZ-FE																									增强型H-arm高等级悬架					创富	纯雅白																										
		邯郸		黄海		宝马X5															asr	提速		4NR-FE																									螺旋弹簧带拖曳非独立悬架					旗舰导航	莹钻白																										
		邢台		霍顿		BMWX5															车身稳定系统	加速		5NR-FE																									类双横臂式独立悬架					御尊	雪花白																										
		张家口		吉利汽车		X五															esp	马力		2UZ-FE																									多连杆式独立悬架电磁减振					春节	凝月白																										
		承德		吉利		宝马X五															主动刹车	功率		1GR-FE																									H型扭力梁式非独立					城市光波激情	雅致白																										
		廊坊		佳跃		别摸我X五															后倒车雷达	转速		CAF488Q1																									三连杆拖曳臂式独立悬架					靓雅	新月白																										
		沧州		江淮		BMW叉5															驻车雷达	扭转		DuratecDOHC24VV6																									后螺旋弹簧非独立悬架					典藏智领	珠峰白																										
		保定		江铃		别摸我叉五															倒车影像	什么时候上市		2.4L4-CylinderDOHCPowerTechEngine																									五连杆式半独立悬挂					雅尊天玺	脂玉白																										
